DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
11/4/19,68.5,VCB,69,69,67.7,405090,120
12/4/19,68,VCB,68.6,68.6,67.6,355400,119
16/04/2019,67.4,VCB,68,68,66.4,404640,118
17/04/2019,68,VCB,67.9,68.2,67,516710,117
18/04/2019,67.9,VCB,67.5,68.7,67.5,554820,116
19/04/2019,68,VCB,67.9,68.5,67.9,232550,115
22/04/2019,67.9,VCB,67.1,68.1,67,313210,114
23/04/2019,67.5,VCB,68,68,66.1,1260620,113
24/04/2019,68.5,VCB,67.5,69.2,67.5,684540,112
25/04/2019,67.7,VCB,68.5,68.5,67.7,348700,111
26/04/2019,67.9,VCB,67.8,68.3,67.5,277260,110
2/5/19,66.9,VCB,67.6,67.9,66.4,628430,109
3/5/19,66.7,VCB,66.8,67.2,66.1,789780,108
6/5/19,66.3,VCB,66.2,66.8,65.9,364560,107
7/5/19,65.6,VCB,66.3,67,64.8,1103060,106
8/5/19,65.1,VCB,64.6,65.6,64.6,947120,105
9/5/19,65.5,VCB,65.4,66,65.1,659180,104
10/5/19,65.6,VCB,65.5,66.1,65.2,554370,103
13/05/2019,65.9,VCB,65.8,66.1,65.6,475420,102
14/05/2019,66.6,VCB,65.4,66.6,65.4,628480,101
15/05/2019,66.8,VCB,66.7,67.4,66.5,734230,100
16/05/2019,66.8,VCB,66.8,67.4,66.8,412210,99
17/05/2019,66.8,VCB,66.8,67,66.6,449040,98
20/05/2019,67.8,VCB,66.8,68.1,66.7,607060,97
21/05/2019,67.7,VCB,67.9,68.4,67.7,473170,96
22/05/2019,67.2,VCB,67.5,68.6,67,662700,95
23/05/2019,67.6,VCB,67.4,68,67.1,378440,94
24/05/2019,66.5,VCB,67.3,68,66.1,931250,93
27/05/2019,67.4,VCB,67,67.8,66.5,341320,92
28/05/2019,67.4,VCB,67,68.6,66.8,664400,91
29/05/2019,67.5,VCB,67.6,68.1,67.2,313510,90
30/05/2019,67.7,VCB,67.5,68.1,67.3,320900,89
31/05/2019,67.2,VCB,67.5,68,66.8,712090,88
3/6/19,66.5,VCB,66.5,67.2,64,593660,87
4/6/19,67.2,VCB,66,67.5,65.9,387780,86
5/6/19,66.7,VCB,67.2,67.5,66.7,269120,85
6/6/19,65.9,VCB,66.7,66.7,65,394550,84
7/6/19,65.6,VCB,66.5,67,65.2,490880,83
10/6/19,66.7,VCB,66.8,67.5,66,585460,82
11/6/19,67.4,VCB,66.5,67.5,66.5,280100,81
12/6/19,67,VCB,67.4,67.5,66.9,212910,80
13/06/2019,67.3,VCB,67,67.5,66.4,546960,79
14/06/2019,69.2,VCB,67.5,69.6,67.3,2478770,78
17/06/2019,69.2,VCB,69.2,70.3,69,1018520,77
18/06/2019,70.3,VCB,69,70.5,68.2,958120,76
19/06/2019,69.8,VCB,70.4,70.7,69.4,767310,75
20/06/2019,71.5,VCB,69.7,71.5,69.6,934290,74
21/06/2019,71,VCB,71.5,72,71,1785930,73
24/06/2019,73,VCB,71.5,73.8,71,1407410,72
